miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	mean expression level
hsa-miR-140-5p	25	25	25	25	25	24	23	16	10	2	7.51381232748024
hsa-miR-141	25	25	25	25	13	3	3	3	2	2	4.53919643626626
hsa-miR-142-3p	25	25	25	23	9	2	2	1	1	0	4.03841319409928
hsa-miR-142-5p	13	1	1	1	1	0	0	0	0	0	0.258843312031733
hsa-miR-143	25	25	25	23	14	9	5	4	2	2	5.02413084229418
hsa-miR-144	25	25	25	22	8	0	0	0	0	0	3.69780813296297
hsa-miR-145	25	25	25	25	23	17	13	8	4	2	6.38184885636813
hsa-miR-1469	25	25	24	21	17	7	0	0	0	0	4.21723372207439
hsa-miR-146a	25	25	25	25	25	25	20	13	10	4	7.55142683301604
hsa-miR-146b-3p	25	25	25	22	13	1	0	0	0	0	3.85056943283329
hsa-miR-146b-5p	25	25	25	25	19	3	0	0	0	0	4.43395470157763
hsa-miR-147	25	25	25	24	19	3	0	0	0	0	4.29559629026957
hsa-miR-1470	25	25	24	14	4	0	0	0	0	0	3.1659486066111
hsa-miR-147b	25	25	23	19	7	0	0	0	0	0	3.48785677360896
hsa-miR-148a	25	25	25	25	25	24	19	18	14	9	8.11999482522819
hsa-miR-148b	25	25	25	25	25	25	25	25	18	9	8.70107587837003
hsa-miR-149	25	25	25	24	19	12	7	1	0	0	4.99609180802785
hsa-miR-150	25	25	25	25	17	1	0	0	0	0	4.20148093884381
hsa-miR-151-3p	25	25	25	25	25	25	24	16	4	1	7.36737910522673
hsa-miR-151-5p	25	25	25	25	25	25	25	20	11	4	8.01432746741593
hsa-miR-152	25	25	24	21	20	12	8	1	0	0	4.95607169409007
hsa-miR-153	25	25	25	23	3	0	0	0	0	0	3.37854785037436
hsa-miR-1537	25	25	25	25	25	25	18	1	0	0	6.32869560318133
hsa-miR-1538	25	25	25	20	4	0	0	0	0	0	3.44144421849705
hsa-miR-1539	25	25	24	18	3	0	0	0	0	0	3.2780242475153
hsa-miR-154	25	25	25	25	14	4	1	0	0	0	4.29311142431181
hsa-miR-155	25	25	25	25	25	25	14	1	1	0	6.13802204638557
hsa-miR-15a	25	25	25	25	25	25	25	25	24	20	10.2498122874178
hsa-miR-15b	25	25	25	25	25	25	25	25	24	22	10.2904240752239
hsa-miR-16	25	25	25	25	25	25	25	25	25	25	12.4503962841691
hsa-miR-181a	25	25	25	25	25	25	25	25	25	21	10.3638004378083
hsa-miR-181b+hsa-miR-181d	25	25	25	25	25	24	24	15	8	2	7.47491452323703
hsa-miR-181c	25	25	25	25	24	12	3	1	0	0	5.11982534022014
hsa-miR-1825	25	25	25	25	19	5	0	0	0	0	4.45567015670338
hsa-miR-1827	25	25	24	20	7	0	0	0	0	0	3.56128034788201
hsa-miR-183	25	25	25	25	25	24	23	17	10	5	7.7594611542286
hsa-miR-184	25	25	24	20	11	1	0	0	0	0	3.72660859038791
hsa-miR-185	25	25	25	25	25	25	24	16	4	0	7.24493068036794
hsa-miR-186	25	25	25	25	25	25	23	15	8	2	7.56416755912229
hsa-miR-187	25	25	25	25	22	7	0	0	0	0	4.5827960260994
hsa-miR-188-3p	25	25	25	25	25	22	8	3	0	0	5.79817125517859
hsa-miR-188-5p	25	25	25	25	25	25	17	0	0	0	6.14637617462953
hsa-miR-18a	25	25	25	25	25	25	25	23	20	13	9.03756122007397
hsa-miR-18b	25	25	25	25	25	24	20	13	6	4	7.17726358507516
hsa-miR-190	25	25	25	22	0	0	0	0	0	0	3.36203556074238
hsa-miR-1908	25	25	25	25	21	8	1	0	0	0	4.72628726592499
hsa-miR-1909	25	25	23	16	2	0	0	0	0	0	3.20755437547084
hsa-miR-190b	25	25	25	25	24	16	8	4	0	0	5.46444386244157
hsa-miR-191	25	25	25	25	25	25	25	25	18	8	8.71053493963546
hsa-miR-1910	25	25	24	24	19	5	0	0	0	0	4.42477960982894
hsa-miR-1911	25	25	25	24	13	2	0	0	0	0	4.02746455625169
hsa-miR-1912	25	25	25	25	25	8	0	0	0	0	4.81744614550818
hsa-miR-1913	25	25	25	24	19	2	0	0	0	0	4.35109431237291
hsa-miR-1914	25	25	25	22	17	1	0	0	0	0	4.13839459145621
hsa-miR-1915	25	25	25	25	19	1	0	0	0	0	4.34334735957207
hsa-miR-192	23	21	21	20	20	19	15	13	11	8	6.81532872616912
hsa-miR-193a-3p	13	0	0	0	0	0	0	0	0	0	0.120326690054462
hsa-miR-193a-5p	25	25	25	25	21	18	12	7	0	0	5.68725357891529
hsa-miR-193b	25	25	25	25	25	25	25	25	24	22	10.3902509457429
hsa-miR-194	25	25	25	25	25	20	18	13	13	12	8.19647886444447
hsa-miR-195	25	25	25	25	22	15	1	0	0	0	5.03855719470939
hsa-miR-196a	25	25	25	25	25	25	25	23	22	16	9.25089566224371
hsa-miR-196b	25	25	25	25	20	13	10	5	0	0	5.49301985006935
hsa-miR-197	25	25	25	25	25	25	25	21	14	4	7.98697424673899
hsa-miR-1973	25	25	25	25	25	17	4	1	1	0	5.41636586164892
hsa-miR-1976	25	24	21	8	0	0	0	0	0	0	2.57494203318529
hsa-miR-198	25	24	22	13	0	0	0	0	0	0	2.87095107366599
hsa-miR-199a-3p+hsa-miR-199b-3p	25	25	25	25	18	6	5	4	3	2	5.35284923009521
hsa-miR-199a-5p	25	25	25	23	10	4	4	4	2	2	4.64188384826604
hsa-miR-199b-5p	25	25	25	23	16	6	3	2	1	0	4.5923634882064
hsa-miR-19a	25	25	25	25	25	25	25	24	24	14	9.37894182277616
hsa-miR-19b	25	25	25	25	25	25	25	25	25	25	11.9541528506825
hsa-miR-200a	25	25	25	25	25	25	23	16	10	7	7.74830952900993
hsa-miR-200b	25	25	25	25	25	21	17	13	11	7	7.59330068198717
hsa-miR-200c	25	24	24	23	18	11	4	3	3	3	5.30096882731737
hsa-miR-202	25	25	25	24	13	0	0	0	0	0	3.94568466615704
hsa-miR-203	25	25	25	25	24	14	3	2	2	2	5.36701758056767
hsa-miR-204	25	25	25	23	10	2	1	0	0	0	3.94598934610088
hsa-miR-205	25	25	25	24	21	3	3	2	0	0	4.69294132849218
hsa-miR-2052	25	25	22	12	0	0	0	0	0	0	2.91439837526069
hsa-miR-2053	25	25	25	20	7	2	0	0	0	0	3.74228719605927
hsa-miR-2054	25	25	25	25	18	1	0	0	0	0	4.26831984866326
hsa-miR-206	21	14	14	12	11	8	5	0	0	0	2.98035247929246
hsa-miR-208a	25	25	25	25	25	18	5	0	0	0	5.35281073475016
hsa-miR-208b	25	25	25	25	18	7	0	0	0	0	4.39065345026255
hsa-miR-20a+hsa-miR-20b	25	25	25	25	25	25	25	25	25	25	12.7720675158288
hsa-miR-21	25	25	25	25	25	25	25	25	25	24	12.2380728199454
hsa-miR-210	25	25	25	25	25	24	23	20	12	5	7.85337105926539
hsa-miR-211	25	25	24	16	3	0	0	0	0	0	3.24347584821426
hsa-miR-2110	25	25	25	14	1	0	0	0	0	0	3.11287766673748
hsa-miR-2113	25	25	25	23	8	0	0	0	0	0	3.66960977462678
hsa-miR-2114	25	25	25	24	18	1	0	0	0	0	4.25932243156389
hsa-miR-2115	25	25	24	23	17	2	0	0	0	0	4.14800421421682
hsa-miR-2116	25	25	25	21	10	0	0	0	0	0	3.81272918217866
hsa-miR-2117	25	25	25	25	21	16	9	1	0	0	5.29383702390164
hsa-miR-212	25	23	21	8	0	0	0	0	0	0	2.58386297584191
hsa-miR-214	25	25	25	24	18	14	7	3	2	1	5.39243067510958
hsa-miR-215	25	25	25	25	24	19	12	6	5	2	6.28457958468787
hsa-miR-216a	25	25	25	24	23	21	18	14	11	8	7.34626847125867
hsa-miR-217	25	25	25	17	4	0	0	0	0	0	3.29311845034987
hsa-miR-218	25	25	25	25	20	12	11	4	1	1	5.42881317844221
hsa-miR-219-1-3p	25	25	25	19	4	0	0	0	0	0	3.41529602501258
hsa-miR-219-2-3p	25	25	23	21	7	3	1	0	0	0	3.68630270163819
hsa-miR-219-5p	25	25	25	23	14	2	0	0	0	0	4.10515387497647
hsa-miR-22	25	25	25	25	25	25	24	24	20	12	8.82000553887877
hsa-miR-221	25	25	25	25	25	25	25	24	24	22	10.789956124371
hsa-miR-222	25	25	25	25	25	25	24	22	18	13	8.9634094940806
hsa-miR-223	13	0	0	0	0	0	0	0	0	0	0.120326690054462
hsa-miR-224	25	25	25	25	24	12	5	3	3	1	5.44506040616153
hsa-miR-2276	25	25	25	15	7	0	0	0	0	0	3.35373693291273
hsa-miR-2277	25	22	18	10	0	0	0	0	0	0	2.45620636742406
hsa-miR-2278	25	25	24	23	19	11	1	0	0	0	4.66340043740402
hsa-miR-23a	25	25	25	25	25	25	25	24	23	21	10.3668559836002
hsa-miR-23b	25	25	25	25	25	25	24	22	18	12	8.8614102454953
hsa-miR-24	25	25	25	25	25	25	25	25	25	25	11.923955751273
hsa-miR-25	25	25	25	25	25	25	25	25	24	23	10.5841547301748
hsa-miR-26a	25	25	25	25	25	25	25	25	25	25	12.2915190776669
hsa-miR-26b	25	25	25	25	25	25	24	22	6	5	7.76614602842536
hsa-miR-27a	25	25	25	25	25	25	25	25	23	17	10.4552962596853
hsa-miR-27b	22	20	20	20	20	20	20	20	19	18	9.10817507045866
hsa-miR-28-3p	25	25	25	24	23	11	2	1	0	0	4.90967697496797
hsa-miR-28-5p	25	25	25	22	15	4	0	0	0	0	4.12561568401714
hsa-miR-296-3p	25	22	13	4	0	0	0	0	0	0	2.07393412550163
hsa-miR-296-5p	25	25	25	25	25	24	17	16	12	6	7.67397736484714
hsa-miR-297	25	23	20	12	1	0	0	0	0	0	2.66813999488468
hsa-miR-298	25	25	25	20	7	0	0	0	0	0	3.70827410700749
hsa-miR-299-3p	25	25	25	23	7	0	0	0	0	0	3.71012127294231
hsa-miR-299-5p	25	24	22	16	4	0	0	0	0	0	3.23990632759932
hsa-miR-29a	25	25	25	25	25	25	25	25	25	25	12.3241196283319
hsa-miR-29b	25	25	24	24	24	24	22	19	17	9	8.2828679054896
hsa-miR-29c	25	25	25	25	25	24	24	20	12	3	7.8125908551863
hsa-miR-300	25	25	25	25	25	20	0	0	0	0	5.15506336603793
hsa-miR-301a	25	25	25	25	25	25	25	20	11	3	8.00289621042267
hsa-miR-301b	25	25	25	25	24	22	12	4	2	0	5.96789686265096
hsa-miR-302a	25	25	25	24	9	1	1	1	0	0	3.85390148033064
hsa-miR-302b	25	25	25	22	15	1	1	0	0	0	3.98742344569026
hsa-miR-302c	25	25	25	25	14	3	0	0	0	0	4.26100554646161
hsa-miR-302d	25	25	25	21	4	1	1	1	0	0	3.64036128380657
hsa-miR-302e	25	25	25	25	21	16	6	1	0	0	5.20467000887197
hsa-miR-302f	25	25	25	25	21	7	0	0	0	0	4.58482572561977
hsa-miR-30a	25	25	25	25	25	25	19	8	5	3	6.91049572832628
hsa-miR-30b	25	25	25	25	25	25	25	25	25	25	11.4136881481219
hsa-miR-30c	25	25	25	25	25	25	25	25	23	17	9.67928163683425
hsa-miR-30d	25	25	25	25	25	25	24	13	5	2	7.22228886382677
hsa-miR-30e	25	25	25	25	25	23	18	12	6	1	6.94119351198576
hsa-miR-31	25	25	25	25	25	21	12	11	8	5	6.86761178241735
hsa-miR-32	25	25	25	25	25	25	24	20	12	4	8.00446732242075
hsa-miR-320a	25	25	25	25	24	23	12	2	1	0	5.93831243917713
hsa-miR-320b	25	25	25	24	17	13	4	1	0	0	4.84419083746233
hsa-miR-320c	25	25	25	25	25	25	25	25	25	24	10.6823153520338
hsa-miR-320d	25	25	22	14	3	0	0	0	0	0	3.08373229081673
hsa-miR-323-3p	25	25	25	15	3	1	0	0	0	0	3.31003753280103
hsa-miR-323-5p	25	25	25	25	16	2	0	0	0	0	4.21392706562654
hsa-miR-324-3p	25	25	25	25	25	22	12	0	0	0	5.86038461614048
hsa-miR-324-5p	25	25	25	25	25	25	24	17	15	3	7.82796243344741
hsa-miR-326	25	25	25	25	19	6	1	0	0	0	4.63011875544241
hsa-miR-328	25	25	25	25	22	10	1	0	0	0	4.85119012547339
hsa-miR-329	25	25	25	24	20	8	1	1	0	0	4.62815108821224
hsa-miR-330-3p	25	25	25	22	17	2	0	0	0	0	4.10084374303861
hsa-miR-330-5p	25	25	25	25	25	21	9	0	0	0	5.81113737005695
hsa-miR-331-3p	25	25	25	25	25	25	25	23	20	9	8.54703189796808
hsa-miR-331-5p	25	25	25	18	5	0	0	0	0	0	3.36887126315291
hsa-miR-335	25	25	25	25	23	20	16	5	2	0	6.16603281263066
hsa-miR-337-3p	25	25	25	16	4	4	2	1	1	0	3.67533260987943
hsa-miR-337-5p	25	25	25	25	25	13	3	1	0	0	5.20148300810282
hsa-miR-338-5p	25	24	23	11	1	0	0	0	0	0	2.88841693507362
hsa-miR-339-3p	25	25	25	25	18	5	0	0	0	0	4.37302626520691
hsa-miR-339-5p	25	25	25	24	21	10	1	0	0	0	4.80405698264685
hsa-miR-33a	25	25	25	20	7	1	0	0	0	0	3.61466393767319
hsa-miR-33b	25	25	25	25	23	15	0	0	0	0	4.98107574284775
hsa-miR-340	25	25	25	25	25	24	23	17	11	3	7.56251746128707
hsa-miR-342-3p	25	25	25	25	25	25	18	10	1	1	6.63988249135278
hsa-miR-342-5p	25	25	25	24	14	1	0	0	0	0	4.0854373911353
hsa-miR-345	25	25	25	25	25	23	20	10	3	1	6.67256706879711
hsa-miR-346	25	25	25	25	13	5	1	0	0	0	4.26963497702252
hsa-miR-34a	25	25	25	25	24	22	17	12	9	5	7.22328694210261
hsa-miR-34b	25	25	25	25	25	24	5	0	0	0	5.60257091956461
hsa-miR-34c-3p	25	25	25	24	18	4	0	0	0	0	4.33096069791569
hsa-miR-34c-5p	25	25	25	25	25	15	6	2	0	0	5.32925948745722
hsa-miR-361-3p	25	25	25	25	25	15	5	1	0	0	5.37954435324315
hsa-miR-361-5p	25	25	25	25	24	24	24	24	19	7	8.58356387640821
hsa-miR-362-3p	25	25	25	25	21	18	10	4	0	0	5.65463715800007
hsa-miR-362-5p	25	25	25	25	25	20	11	4	0	0	5.89149649412488
hsa-miR-363	25	25	25	25	25	23	5	2	2	1	6.02278449218049
hsa-miR-365	25	25	25	25	25	22	19	14	7	1	7.01741382615869
hsa-miR-367	25	25	25	24	10	1	0	0	0	0	3.8395847591252
